name,id,team,position_id,points_round_1,points_round_2,price_round_1,price_round_2,Man of the match,num_matches,Tackles,Dominant tackles,Line-breaks,Metres carried,Kick 50-22,Lineout steal,Breakdown steal,Try,Assists,Conversion,Penalty,Drop goal,Yellow cards,Red cards ,position,played_round_1,points_to_price_round_1,played_round_2,points_to_price_round_2,latest_price,total_points_to_latest_price_ratio,points_all_rounds,total_points_all_rounds,points_per_round_all_rounds
Jamie George,122,England,13,14.2,37.5,12.1,12.4,0.0,2.0,17.0,1.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,hooker,True,1.1735537190082643,True,3.0241935483870965,12.4,2.084677419354839,51.7,51.7,25.85
Jacob Stockdale,73,Ireland,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-three,False,,False,,0.0,,0.0,0.0,
Cian Healy,55,Ireland,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,front-row,False,,False,,0.0,,0.0,0.0,
Matteo Minozzi,43,Italy,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-three,False,,False,,0.0,,0.0,0.0,
Ethan Dumortier,701,France,7,35.2,33.6,11.6,12.3,0.0,2.0,3.0,0.0,3.0,109.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,centres,True,3.03448275862069,True,2.7317073170731705,12.3,2.796747967479675,68.80000000000001,68.80000000000001,34.400000000000006
Andrew Porter,74,Ireland,12,23.3,31.3,12.1,12.2,0.0,2.0,17.0,0.0,0.0,42.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,front-row,True,1.9256198347107438,True,2.5655737704918034,12.2,2.237704918032787,54.6,54.6,27.3
Tommaso Allan,30,Italy,8,43.6,27.2,12.0,12.2,0.0,2.0,18.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,fly-half,True,3.6333333333333333,True,2.2295081967213117,12.2,2.901639344262295,70.8,70.8,35.4
Jack van Poortvliet,687,England,9,21.0,21.8,12.2,12.1,0.0,2.0,4.0,0.0,2.0,59.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,scrum-half,True,1.7213114754098362,True,1.8016528925619837,12.1,1.768595041322314,42.8,42.8,21.4
Alex Mitchell,428,England,9,0.0,14.2,11.7,12.1,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,scrum-half,False,0.0,True,1.1735537190082643,12.1,1.1735537190082643,14.2,14.2,14.2
Nick Isiekwe,403,England,11,8.6,4.5,12.2,12.1,0.0,2.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,second-row,True,0.7049180327868853,True,0.37190082644628103,12.1,0.5413223140495868,13.1,13.1,6.55
